name,short_name,scope,kind,local,start,end,total_lines,proof_start,proof_end,proof_lines,internal_callers_count,internal_callers,deps_count,deps,external_token_count,external_token_uses,external_name_collision,external_declaration_sites,public_root,public_closure,tactics,role,ownership,audit_action,audit_note,repository_reachability
opt_access_subset,opt_access_subset,top,Definition,False,182,187,6,,,0,0,,2,AccessFunction;access_eqb,14,samples/CSample1.v:293;samples/CSample1.v:299;samples/CSample2.v:477;samples/CSample2.v:478;samples/CSample2.v:482;samples/CSample2.v:483;samples/CSample3.v:887;samples/CSample3.v:888;samples/CSample3.v:889;samples/CSample3.v:890;samples/CSample3.v:894;samples/CSample3.v:895;samples/CSample3.v:896;samples/CSample3.v:897,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
access_strict_eqb,access_strict_eqb,top,Definition,False,189,192,4,,,0,3,access_strict_eqb_eq;access_strict_eq_eqb;access_list_strict_eqb,2,AccessFunction;listzzs_strict_eqb,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,dependency of explicit external root
access_strict_eqb_eq,access_strict_eqb_eq,top,Lemma,False,194,208,15,198,208,11,1,access_list_strict_eqb_eq,2,access_strict_eqb;listzzs_strict_eqb_eq,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 3, ""eapply"": 3, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,dependency of explicit external root
access_strict_eq_eqb,access_strict_eq_eqb,top,Lemma,False,210,223,14,214,223,10,1,access_list_strict_eq_eqb,2,access_strict_eqb;listzzs_strict_eq_eqb,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 2, ""eapply"": 2, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,dependency of explicit external root
access_list_strict_eqb,access_list_strict_eqb,top,Definition,False,225,226,2,,,0,2,access_list_strict_eqb_eq;access_list_strict_eq_eqb,3,AccessFunction;access_strict_eqb;list_beq,10,src/ISSRefinement.v:58;src/ISSRefinement.v:61;src/ISSRefinement.v:82;src/TilingBoolChecker.v:190;src/TilingBoolChecker.v:193;src/TilingBoolChecker.v:222;src/TilingBoolChecker.v:225;src/TInstr.v:65;src/AffineValidator.v:344;src/AffineValidator.v:345,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
access_list_strict_eqb_eq,access_list_strict_eqb_eq,top,Lemma,False,228,237,10,232,237,6,0,,2,access_list_strict_eqb;access_strict_eqb_eq,9,src/ISSRefinement.v:83;src/TilingBoolChecker.v:262;src/TilingBoolChecker.v:263;src/TilingBoolChecker.v:306;src/TilingBoolChecker.v:307;src/TInstr.v:73;src/TInstr.v:74;src/AffineValidator.v:1034;src/AffineValidator.v:1035,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 2, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 1}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
access_list_strict_eq_eqb,access_list_strict_eq_eqb,top,Lemma,False,239,249,11,243,249,7,0,,2,access_list_strict_eqb;access_strict_eq_eqb,2,src/TInstr.v:79;src/TInstr.v:80,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 1, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 2, ""specialize"": 0, ""subst"": 1, ""unfold"": 0}",affine/domain/access Boolean equality,PolyBase checker data layer,keep/organize,Keep domain-specific checks together; document strict structural versus extensional equality.,explicit external token root
DomIndex,DomIndex,top,Definition,False,251,251,1,,,0,2,exact_cell;valid_access_cells,0,,7,src/ISSRefinement.v:125;src/ISSRefinement.v:130;src/ISSRefinement.v:421;src/ISSRefinement.v:429;src/PolyLang.v:1758;src/ISSSemantics.v:63;polygen/InstanceListSema.v:39,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
MemCell,MemCell,top,Record,False,253,256,4,,,0,4,exact_cell;cell_eq;cell_neq;valid_access_cells,0,,17,src/TInstr.v:59;src/CState.v:1496;src/CState.v:1511;src/CState.v:1542;src/CInstr.v:371;src/CInstr.v:384;src/CInstr.v:408;polygen/InstrTy.v:36;syntax/SInstr.v:45;syntax/SInstr.v:234;syntax/SInstr.v:287;syntax/SInstr.v:297;syntax/SInstr.v:324;syntax/SInstr.v:354;syntax/SInstr.v:376;syntax/SInstr.v:402;syntax/SInstr.v:546,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation/model,PolyBase memory model,keep,Public semantic data used by validators and instruction semantics.,explicit external token root
exact_cell,exact_cell,top,Definition,False,258,263,6,,,0,1,valid_access_cells,3,AccessFunction;DomIndex;MemCell,58,src/TilingRelation.v:746;src/TilingRelation.v:747;src/TilingRelation.v:1808;src/TilingRelation.v:1811;src/TilingRelation.v:1829;src/TilingRelation.v:1832;src/TilingRelation.v:1965;src/TilingRelation.v:1968;src/TilingRelation.v:1988;src/TilingRelation.v:1991;src/TilingRelation.v:2011;src/TilingRelation.v:2016;src/TilingRelation.v:2030;src/TilingRelation.v:2035;src/TilingRelation.v:2059;src/TilingRelation.v:2064;src/TilingRelation.v:2098;src/TilingRelation.v:2103;src/AffineValidator.v:2298;src/AffineValidator.v:2368;src/AffineValidator.v:2421;src/AffineValidator.v:2454;src/AffineValidator.v:2455;src/AffineValidator.v:2463;src/AffineValidator.v:2464;src/AffineValidator.v:2481;src/AffineValidator.v:2508;src/AffineValidator.v:2514;src/AffineValidator.v:2520;src/AffineValidator.v:2591;src/AffineValidator.v:2592;src/AffineValidator.v:2608;src/AffineValidator.v:2609;src/AffineValidator.v:2647;src/AffineValidator.v:2648;src/AffineValidator.v:2665;src/AffineValidator.v:2666;src/AffineValidator.v:2704;src/AffineValidator.v:2705;src/AffineValidator.v:2713;src/AffineValidator.v:2714;src/AffineValidator.v:2733;src/AffineValidator.v:2734;src/AffineValidator.v:2742;src/AffineValidator.v:2743;src/AffineValidator.v:5185;src/AffineValidator.v:5186;src/AffineValidator.v:5411;src/AffineValidator.v:5416;src/AffineValidator.v:5480;src/AffineValidator.v:5485;src/AffineValidator.v:5549;src/AffineValidator.v:5554;src/CInstr.v:619;src/CInstr.v:683;src/CInstr.v:701;syntax/SInstr.v:235;syntax/SInstr.v:576,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation/model,PolyBase memory model,keep,Public semantic data used by validators and instruction semantics.,explicit external token root
cell_eq,cell_eq,top,Definition,False,265,266,2,,,0,4,cell_eq_proper;cell_neq_proper;cell_eq_symm;valid_access_cells,1,MemCell,11,src/CInstr.v:619;src/CInstr.v:637;src/CInstr.v:648;src/CInstr.v:662;src/CInstr.v:683;src/CInstr.v:687;src/CInstr.v:701;syntax/SInstr.v:287;syntax/SInstr.v:414;syntax/SInstr.v:417;syntax/SInstr.v:576,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation/model,PolyBase memory model,keep,Public semantic data used by validators and instruction semantics.,explicit external token root
cell_neq,cell_neq,top,Definition,False,268,269,2,,,0,2,cell_neq_proper;cell_neq_symm,1,MemCell,50,src/TInstr.v:131;src/TInstr.v:137;src/TInstr.v:143;src/AffineValidator.v:2298;src/AffineValidator.v:2368;src/AffineValidator.v:2421;src/AffineValidator.v:2453;src/AffineValidator.v:2463;src/AffineValidator.v:2481;src/AffineValidator.v:2484;src/AffineValidator.v:2508;src/AffineValidator.v:2514;src/AffineValidator.v:2520;src/AffineValidator.v:2590;src/AffineValidator.v:2607;src/AffineValidator.v:2646;src/AffineValidator.v:2664;src/AffineValidator.v:2703;src/AffineValidator.v:2712;src/AffineValidator.v:2732;src/AffineValidator.v:2741;src/AffineValidator.v:5184;src/AffineValidator.v:5410;src/AffineValidator.v:5479;src/AffineValidator.v:5548;src/CState.v:1699;src/CState.v:1790;src/CState.v:1828;src/CState.v:1847;src/CState.v:1902;src/CInstr.v:738;src/CInstr.v:1473;src/CInstr.v:1479;src/CInstr.v:1485;src/CInstr.v:1556;polygen/InstrTy.v:91;polygen/InstrTy.v:97;polygen/InstrTy.v:103;syntax/SInstr.v:432;syntax/SInstr.v:459;syntax/SInstr.v:547;syntax/SInstr.v:548;syntax/SInstr.v:790;syntax/SInstr.v:837;syntax/SInstr.v:938;syntax/SInstr.v:939;syntax/SInstr.v:940;syntax/SInstr.v:975;syntax/SInstr.v:981;syntax/SInstr.v:988,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation/model,PolyBase memory model,keep,Public semantic data used by validators and instruction semantics.,explicit external token root
cell_eq_proper,cell_eq_proper,top,Instance,False,271,281,11,272,281,10,0,,1,cell_eq,0,,False,,False,False,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 6, ""eauto"": 4, ""firstorder"": 2, ""inversion"": 0, ""lia"": 2, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation instance,PolyBase memory model,audit implicit use,"No explicit name use, but typeclass/setoid use is not visible to lexical reachability.",outside explicit external-root closure
cell_neq_proper,cell_neq_proper,top,Instance,False,283,295,13,284,295,12,0,,2,cell_eq;cell_neq,1,src/AffineValidator.v:2496,False,,True,True,"{""apply"": 2, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 6, ""eauto"": 4, ""firstorder"": 2, ""inversion"": 0, ""lia"": 2, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation/model,PolyBase memory model,keep,Public semantic data used by validators and instruction semantics.,explicit external token root
cell_eq_symm,cell_eq_symm,top,Instance,False,297,300,4,298,300,3,0,,1,cell_eq,2,src/AffineValidator.v:2498;src/AffineValidator.v:2499,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 1, ""eauto"": 0, ""firstorder"": 1, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation/model,PolyBase memory model,keep,Public semantic data used by validators and instruction semantics.,explicit external token root
cell_neq_symm,cell_neq_symm,top,Lemma,False,302,313,12,305,313,9,0,,1,cell_neq,8,src/AffineValidator.v:2618;src/AffineValidator.v:2657;src/AffineValidator.v:2675;src/AffineValidator.v:2752;src/CInstr.v:749;src/CInstr.v:752;src/CInstr.v:1579;syntax/SInstr.v:985,False,,True,True,"{""apply"": 2, ""assert"": 0, ""auto"": 0, ""destruct"": 2, ""eapply"": 2, ""eauto"": 4, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation/model,PolyBase memory model,keep,Public semantic data used by validators and instruction semantics.,explicit external token root
valid_access_cells,valid_access_cells,top,Definition,False,315,319,5,,,0,0,,5,AccessFunction;DomIndex;MemCell;cell_eq;exact_cell,26,src/TInstr.v:114;src/WitnessedInstrDesign.v:28;src/WitnessedInstrDesign.v:29;src/AffineValidator.v:2475;src/AffineValidator.v:2476;src/CInstr.v:1320;src/CInstr.v:1378;src/CInstr.v:1382;src/CInstr.v:1408;src/CInstr.v:1412;src/CInstr.v:1414;src/CInstr.v:1424;polygen/InstrTy.v:68;syntax/SInstr.v:521;syntax/SInstr.v:523;syntax/SInstr.v:527;syntax/SInstr.v:528;syntax/SInstr.v:529;syntax/SInstr.v:531;syntax/SInstr.v:536;syntax/SInstr.v:537;syntax/SInstr.v:647;syntax/SInstr.v:700;syntax/SInstr.v:703;syntax/SInstr.v:711;syntax/SInstr.v:763,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",memory-cell relation/model,PolyBase memory model,keep,Public semantic data used by validators and instruction semantics.,explicit external token root
TimeStamp,TimeStamp,top,Definition,False,321,321,1,,,0,0,,0,,3,src/PolyLang.v:1761;src/PolyLang.v:1762;polygen/InstanceListSema.v:41,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",polyhedral core type/alias,PolyBase public foundation,keep,Widely consumed foundational API; organize under explicit type sections.,explicit external token root
V0,V0,top,Definition,False,323,323,1,,,0,25,opp_v0_v0;v0_n_app_1_dot_product_p_is_nth_p;dot_product_v0_with_shorter_is_0;make_constr_lt0_l;make_constr_lt0_l_correct;make_constr_lt0_r;make_constr_lt0_r_correct;make_constrs_eq0_l;make_constrs_eq0_l_correct;make_constrs_eq0_r;make_constrs_eq0_r_correct;make_constr_gt0_l;make_constr_gt0_l_correct;make_constr_gt0_r;make_constr_gt0_r_correct;make_poly_all0_l;make_poly_all0_l_correct;make_poly_all0_r;make_poly_all0_r_correct;constr_transl_l;constr_transl_l_correct;constr_transl_r;constr_transl_r_correct;make_poly_env_eq';make_poly_env_eq'_correct,0,,21,src/TilingBandScheduleValidator.v:4767;src/TilingBandScheduleValidator.v:4771;src/TilingBandScheduleValidator.v:4775;src/TilingBandScheduleValidator.v:4777;src/TilingBandScheduleValidator.v:4784;src/PolyLang.v:1088;src/CInstr.v:314;src/ParallelValidator.v:54;src/ParallelValidator.v:483;src/ParallelValidator.v:496;src/ParallelValidator.v:500;src/ParallelValidator.v:501;src/ParallelValidator.v:505;src/ParallelValidator.v:509;src/ParallelValidator.v:511;src/ParallelValidator.v:524;src/ParallelValidator.v:526;src/ParallelValidator.v:527;src/ParallelValidator.v:532;polygen/Loop.v:273;syntax/SInstr.v:164,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 1, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",explicit external token root
Vopp,Vopp,top,Definition,False,325,326,2,,,0,1,Vopp,1,Vopp,1,src/ISSRefinement.v:204,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",explicit external token root
opp_app,opp_app,top,Lemma,False,328,339,12,331,339,9,5,make_constrs_eq0_l_correct;make_constrs_eq0_r_correct;make_constrs_eq_correct;make_poly_all0_l_correct;make_poly_all0_r_correct,0,,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",dependency of explicit external root
opp_opp,opp_opp,top,Lemma,False,341,353,13,344,353,10,3,make_constrs_eq_correct;make_poly_all0_l_correct;make_poly_all0_r_correct,0,,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 2, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",dependency of explicit external root
opp_v0_v0,opp_v0_v0,top,Lemma,False,355,362,8,358,362,5,4,make_constrs_eq0_l_correct;make_constrs_eq0_r_correct;make_poly_all0_l_correct;make_poly_all0_r_correct,1,V0,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 2, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 1, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 2}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",dependency of explicit external root
v0_n_app_1_dot_product_p_is_nth_p,v0_n_app_1_dot_product_p_is_nth_p,top,Lemma,False,364,374,11,368,374,7,0,,1,V0,2,src/CInstr.v:558;polygen/Loop.v:503,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 3, ""eapply"": 1, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 1, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",explicit external token root
dot_product_v0_with_shorter_is_0,dot_product_v0_with_shorter_is_0,top,Lemma,False,376,391,16,380,391,12,0,,1,V0,1,polygen/Loop.v:510,False,,True,True,"{""apply"": 0, ""assert"": 1, ""auto"": 0, ""destruct"": 1, ""eapply"": 2, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 4, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""specialize"": 0, ""subst"": 1, ""unfold"": 0}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",explicit external token root
dot_product_opp_l,dot_product_opp_l,top,Lemma,False,393,408,16,396,408,13,0,,0,,2,src/CInstr.v:562;src/CInstr.v:586,False,,True,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 1, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",explicit external token root
dot_product_opp_r,dot_product_opp_r,top,Lemma,False,410,427,18,413,425,13,9,make_constrs_eq0_l_correct;make_constrs_eq0_r_correct;make_constr_gt0_l_correct;make_constr_gt0_r_correct;make_constr_lt_correct;make_constrs_eq_correct;make_constr_gt_correct;make_poly_all0_l_correct;make_poly_all0_r_correct,0,,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 2, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 1, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 1, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",generic vector/dot-product fact,Linalg or LinalgExt,move/wrap,"Move beside vector negation, dot product, or assign; preserve PolyBase-facing names if needed.",dependency of explicit external root
make_constr_lt0_l,make_constr_lt0_l,top,Definition,False,429,432,4,,,0,2,make_constr_lt0_l_correct;make_poly_lt0_l,1,V0,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",lexicographic-vs-zero constraint helper,PolyBase lex-constraint implementation,refactor symmetry,Internal live helper family; unify four left/right and lt/gt proof schemas while preserving definitions/paths.,dependency of explicit external root
make_constr_lt0_l_correct,make_constr_lt0_l_correct,top,Lemma,False,434,446,13,439,446,8,1,make_poly_lt0_l_correct,2,V0;make_constr_lt0_l,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 1, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 3, ""specialize"": 0, ""subst"": 0, ""unfold"": 3}",lexicographic-vs-zero constraint helper,PolyBase lex-constraint implementation,refactor symmetry,Internal live helper family; unify four left/right and lt/gt proof schemas while preserving definitions/paths.,dependency of explicit external root
make_constr_lt0_r,make_constr_lt0_r,top,Definition,False,448,451,4,,,0,2,make_constr_lt0_r_correct;make_poly_lt0_r,1,V0,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",lexicographic-vs-zero constraint helper,PolyBase lex-constraint implementation,refactor symmetry,Internal live helper family; unify four left/right and lt/gt proof schemas while preserving definitions/paths.,dependency of explicit external root
make_constr_lt0_r_correct,make_constr_lt0_r_correct,top,Lemma,False,453,466,14,458,466,9,1,make_poly_lt0_r_correct,2,V0;make_constr_lt0_r,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 1, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 4, ""specialize"": 0, ""subst"": 0, ""unfold"": 4}",lexicographic-vs-zero constraint helper,PolyBase lex-constraint implementation,refactor symmetry,Internal live helper family; unify four left/right and lt/gt proof schemas while preserving definitions/paths.,dependency of explicit external root
make_constrs_eq0_l,make_constrs_eq0_l,top,Definition,False,468,471,4,,,0,3,make_constrs_eq0_l_correct;make_poly_lt0_l;make_poly_gt0_l,1,V0,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 0, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 0, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 0, ""specialize"": 0, ""subst"": 0, ""unfold"": 0}",lexicographic-vs-zero constraint helper,PolyBase lex-constraint implementation,refactor symmetry,Internal live helper family; unify four left/right and lt/gt proof schemas while preserving definitions/paths.,dependency of explicit external root
make_constrs_eq0_l_correct,make_constrs_eq0_l_correct,top,Lemma,False,473,506,34,478,506,29,2,make_poly_lt0_l_correct;make_poly_gt0_l_correct,5,V0;dot_product_opp_r;make_constrs_eq0_l;opp_app;opp_v0_v0,0,,False,,False,True,"{""apply"": 0, ""assert"": 0, ""auto"": 0, ""destruct"": 1, ""eapply"": 0, ""eauto"": 0, ""firstorder"": 0, ""inversion"": 0, ""lia"": 2, ""nia"": 0, ""pose proof"": 0, ""repeat"": 0, ""rewrite"": 19, ""specialize"": 0, ""subst"": 0, ""unfold"": 10}",lexicographic-vs-zero constraint helper,PolyBase lex-constraint implementation,refactor symmetry,Internal live helper family; unify four left/right and lt/gt proof schemas while preserving definitions/paths.,dependency of explicit external root
