kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,proof_group,shared_proof_owner,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,route_root,reachable_from_route_root,correctness_root,reachable_from_correctness_root,config_root,reachable_from_config_root,loopjam_root,reachable_from_loopjam_root,family,responsibility,theory_complexity,duplication_or_brittleness,recommended_refactor,priority,refactor_risk,api_constraint
Lemma,Public,erase_to_loop_stmt_semantics_mutual,ParallelCodegen.erase_to_loop_stmt_semantics_mutual,ParallelCodegen,,,erase_to_loop_stmt_semantics_mutual,yes,309,355,47,312,354,Qed,43,41,8,erase_expr_eval_eq;erase_expr_list_map_eval_eq;erase_stmt_sem_goal;erase_stmts_sem_goal;erase_test_eval_eq;erase_to_loop_stmt;iter_semantics_refine_exact;pl_stmt_stmts_mutind,2,erase_to_loop_stmt_semantics;erase_to_loop_stmts_semantics,0,,no,yes,no,yes,no,yes,no,yes,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,The loop case uses a goal-shape `lazymatch` to discover the iteration hypothesis.,Name the loop-case inversion hypothesis explicitly and call a named iteration-lifting helper; avoid `lazymatch goal`.,P0 goal-shape cleanup,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_to_loop_stmt_semantics,ParallelCodegen.erase_to_loop_stmt_semantics,ParallelCodegen,,,erase_to_loop_stmt_semantics,yes,356,363,8,360,362,Qed,3,1,2,erase_to_loop_stmt;erase_to_loop_stmt_semantics_mutual,1,erase_to_loop_semantics,0,,no,yes,no,yes,no,yes,no,yes,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,Projection/scheme wrapper around the mutual semantic transport proof.,Retain the public name/type; keep this as a thin projection or top-level semantic wrapper.,P1 ownership,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,erase_to_loop_stmts_semantics,ParallelCodegen.erase_to_loop_stmts_semantics,ParallelCodegen,,,erase_to_loop_stmts_semantics,yes,364,372,9,369,371,Qed,3,1,2,erase_to_loop_stmt_semantics_mutual;erase_to_loop_stmts,0,,0,,no,no,no,no,no,no,no,no,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,Projection/scheme wrapper around the mutual semantic transport proof.,Retain the public name/type; keep this as a thin projection or top-level semantic wrapper.,P1 ownership,low,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
Lemma,Public,erase_to_loop_semantics,ParallelCodegen.erase_to_loop_semantics,ParallelCodegen,,,erase_to_loop_semantics,yes,373,386,14,377,385,Qed,9,7,2,erase_to_loop;erase_to_loop_stmt_semantics,6,annotated_codegen_many_raw_refines_prepared_codegen;annotated_codegen_many_refines_prepared_codegen;annotated_codegen_raw_refines_prepared_codegen;annotated_codegen_refines_prepared_codegen;vector_annotated_codegen_raw_refines_prepared_codegen;vector_annotated_codegen_refines_prepared_codegen,2,driver/ExtractedPipelineCorrect.v:111:ParallelCodegenCore.erase_to_loop_semantics;driver/VerifiedParallelCompilerConfig.v:272:ParallelCodegenCore.erase_to_loop_semantics,yes,yes,no,yes,yes,yes,yes,yes,no,no,Erased-loop semantic transport,Cross-functor semantic adapter; generic iteration monotonicity belongs in IterSem utility,One genuine mutual structural proof; it transports the same execution across isomorphic Loop instantiations.,Projection/scheme wrapper around the mutual semantic transport proof.,Retain the public name/type; keep this as a thin projection or top-level semantic wrapper.,P1 ownership,low,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,tagged_prepared_codegen,ParallelCodegen.tagged_prepared_codegen,ParallelCodegen,,,tagged_prepared_codegen,yes,387,391,5,,,,0,0,1,tag_loop,5,annotated_codegen;annotated_codegen_many;tagged_prepared_codegen_erase_eq;tagged_prepared_codegen_matches;vector_annotated_codegen,0,,no,yes,no,yes,no,yes,no,yes,no,no,Prepared-codegen tagging,ParallelCodegen orchestration,Direct monadic wrapper.,Normal/raw variants differ only in the prepared-codegen function.,Optionally define a Local generic tagging combinator; retain public definitions unchanged.,P1 local factoring,low,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,tagged_prepared_codegen_raw,ParallelCodegen.tagged_prepared_codegen_raw,ParallelCodegen,,,tagged_prepared_codegen_raw,yes,392,396,5,,,,0,0,1,tag_loop,4,annotated_codegen_many_raw;annotated_codegen_raw;tagged_prepared_codegen_raw_erase_eq;vector_annotated_codegen_raw,0,,no,yes,no,yes,no,yes,no,yes,no,no,Prepared-codegen tagging,ParallelCodegen orchestration,Direct monadic wrapper.,Normal/raw variants differ only in the prepared-codegen function.,Optionally define a Local generic tagging combinator; retain public definitions unchanged.,P1 local factoring,low,Directly or transitively used by a qualified external root; preserve name and type.
Record,Public,codegen_matches_current_dims,ParallelCodegen.codegen_matches_current_dims,ParallelCodegen,,,codegen_matches_current_dims,yes,397,402,6,,,,0,0,2,cmd_origin_tagged;tagged_from_top,1,tagged_prepared_codegen_matches,0,,no,no,no,no,no,no,no,no,no,no,Origin-depth tagging contract,Bridge between validator dimensions and generated-loop depths,Simple structural invariant with potentially central integration purpose.,Repository-unreachable exported chain; validator certificate soundness is not connected to codegen correctness.,Preserve names/types. Integrate into a stronger certificate-to-execution theorem or explicitly classify as retained compatibility surface.,P0 contract audit,high,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
RecordField,Public,cmd_origin_tagged,ParallelCodegen.cmd_origin_tagged,ParallelCodegen,,codegen_matches_current_dims,cmd_origin_tagged,yes,399,402,4,,,,0,0,1,tagged_from_top,1,codegen_matches_current_dims,0,,no,no,no,no,no,no,no,no,no,no,Origin-depth tagging contract,Bridge between validator dimensions and generated-loop depths,Simple structural invariant with potentially central integration purpose.,Repository-unreachable exported chain; validator certificate soundness is not connected to codegen correctness.,Preserve names/types. Integrate into a stronger certificate-to-execution theorem or explicitly classify as retained compatibility surface.,P0 contract audit,high,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
Definition,Public,annotated_codegen,ParallelCodegen.annotated_codegen,ParallelCodegen,,,annotated_codegen,yes,403,409,7,,,,0,0,1,tagged_prepared_codegen,5,annotated_codegen_correct_general;annotated_codegen_erase_eq;annotated_codegen_refines_prepared_codegen;checked_annotated_codegen;checked_annotated_codegen_ok_inv,0,,no,yes,no,yes,no,no,no,no,no,no,Parallel/vector annotation construction,"ParallelCodegen orchestration, with semantic certificate bridge currently absent",Direct AST annotation by certified dimension; no proof complexity here.,"The certificate field selects a loop depth, but no theorem in this file consumes `parallel_cert_sound` or proves that every target execution is justified by it.","Keep existing API. Add a stronger, separately named integration theorem linking validator soundness, origin tags, and the intended target execution model before changing current contracts.",P0 contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,annotated_codegen_raw,ParallelCodegen.annotated_codegen_raw,ParallelCodegen,,,annotated_codegen_raw,yes,410,416,7,,,,0,0,1,tagged_prepared_codegen_raw,5,annotated_codegen_raw_correct_general;annotated_codegen_raw_erase_eq;annotated_codegen_raw_refines_prepared_codegen;checked_annotated_codegen;checked_annotated_codegen_ok_inv,0,,no,yes,no,yes,no,no,no,no,no,no,Parallel/vector annotation construction,"ParallelCodegen orchestration, with semantic certificate bridge currently absent",Direct AST annotation by certified dimension; no proof complexity here.,"The certificate field selects a loop depth, but no theorem in this file consumes `parallel_cert_sound` or proves that every target execution is justified by it.","Keep existing API. Add a stronger, separately named integration theorem linking validator soundness, origin tags, and the intended target execution model before changing current contracts.",P0 contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,vector_annotated_codegen,ParallelCodegen.vector_annotated_codegen,ParallelCodegen,,,vector_annotated_codegen,yes,417,423,7,,,,0,0,1,tagged_prepared_codegen,5,checked_vector_annotated_codegen;checked_vector_annotated_codegen_ok_inv;vector_annotated_codegen_correct_general;vector_annotated_codegen_erase_eq;vector_annotated_codegen_refines_prepared_codegen,0,,no,yes,no,yes,no,no,no,no,no,no,Parallel/vector annotation construction,"ParallelCodegen orchestration, with semantic certificate bridge currently absent",Direct AST annotation by certified dimension; no proof complexity here.,"The certificate field selects a loop depth, but no theorem in this file consumes `parallel_cert_sound` or proves that every target execution is justified by it.","Keep existing API. Add a stronger, separately named integration theorem linking validator soundness, origin tags, and the intended target execution model before changing current contracts.",P0 contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,vector_annotated_codegen_raw,ParallelCodegen.vector_annotated_codegen_raw,ParallelCodegen,,,vector_annotated_codegen_raw,yes,424,430,7,,,,0,0,1,tagged_prepared_codegen_raw,5,checked_vector_annotated_codegen;checked_vector_annotated_codegen_ok_inv;vector_annotated_codegen_raw_correct_general;vector_annotated_codegen_raw_erase_eq;vector_annotated_codegen_raw_refines_prepared_codegen,0,,no,yes,no,yes,no,no,no,no,no,no,Parallel/vector annotation construction,"ParallelCodegen orchestration, with semantic certificate bridge currently absent",Direct AST annotation by certified dimension; no proof complexity here.,"The certificate field selects a loop depth, but no theorem in this file consumes `parallel_cert_sound` or proves that every target execution is justified by it.","Keep existing API. Add a stronger, separately named integration theorem linking validator soundness, origin tags, and the intended target execution model before changing current contracts.",P0 contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Fixpoint,Public,parallelize_certified_dims,ParallelCodegen.parallelize_certified_dims,ParallelCodegen,,,parallelize_certified_dims,yes,431,441,11,,,,0,0,0,,3,annotated_codegen_many;annotated_codegen_many_raw;erase_parallelize_certified_dims_to_loop_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Parallel/vector annotation construction,"ParallelCodegen orchestration, with semantic certificate bridge currently absent",Direct AST annotation by certified dimension; no proof complexity here.,"The certificate field selects a loop depth, but no theorem in this file consumes `parallel_cert_sound` or proves that every target execution is justified by it.","Keep existing API. Add a stronger, separately named integration theorem linking validator soundness, origin tags, and the intended target execution model before changing current contracts.",P0 contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,annotated_codegen_many,ParallelCodegen.annotated_codegen_many,ParallelCodegen,,,annotated_codegen_many,yes,442,448,7,,,,0,0,2,parallelize_certified_dims;tagged_prepared_codegen,5,annotated_codegen_many_correct_general;annotated_codegen_many_erase_eq;annotated_codegen_many_refines_prepared_codegen;checked_annotated_codegen_many;checked_annotated_codegen_many_ok_inv,0,,no,yes,no,yes,no,yes,no,yes,no,no,Parallel/vector annotation construction,"ParallelCodegen orchestration, with semantic certificate bridge currently absent",Direct AST annotation by certified dimension; no proof complexity here.,"The certificate field selects a loop depth, but no theorem in this file consumes `parallel_cert_sound` or proves that every target execution is justified by it.","Keep existing API. Add a stronger, separately named integration theorem linking validator soundness, origin tags, and the intended target execution model before changing current contracts.",P0 contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,annotated_codegen_many_raw,ParallelCodegen.annotated_codegen_many_raw,ParallelCodegen,,,annotated_codegen_many_raw,yes,449,455,7,,,,0,0,2,parallelize_certified_dims;tagged_prepared_codegen_raw,5,annotated_codegen_many_raw_correct_general;annotated_codegen_many_raw_erase_eq;annotated_codegen_many_raw_refines_prepared_codegen;checked_annotated_codegen_many;checked_annotated_codegen_many_ok_inv,0,,no,yes,no,yes,no,yes,no,yes,no,no,Parallel/vector annotation construction,"ParallelCodegen orchestration, with semantic certificate bridge currently absent",Direct AST annotation by certified dimension; no proof complexity here.,"The certificate field selects a loop depth, but no theorem in this file consumes `parallel_cert_sound` or proves that every target execution is justified by it.","Keep existing API. Add a stronger, separately named integration theorem linking validator soundness, origin tags, and the intended target execution model before changing current contracts.",P0 contract audit,high,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,result_is_ok,ParallelCodegen.result_is_ok,ParallelCodegen,,,result_is_ok,yes,456,461,6,,,,0,0,0,,2,all_es_safeb_stmt;all_es_safeb_stmts,0,,no,yes,no,yes,no,yes,no,yes,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
Fixpoint,Public,all_es_safeb_stmt,ParallelCodegen.all_es_safeb_stmt,ParallelCodegen,,,all_es_safeb_stmt,yes,462,474,13,464,473,Defined,10,8,2,all_es_safeb_stmts;result_is_ok,4,all_es_safeb;all_es_safeb_stmt_sound;all_es_safeb_stmts;all_es_safeb_stmts_sound,0,,no,yes,no,yes,no,yes,no,yes,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
with-Fixpoint,Public,all_es_safeb_stmts,ParallelCodegen.all_es_safeb_stmts,ParallelCodegen,,all_es_safeb_stmt,all_es_safeb_stmt,no,463,474,12,464,473,Defined,10,8,2,all_es_safeb_stmt;result_is_ok,3,all_es_safeb_stmt;all_es_safeb_stmt_sound;all_es_safeb_stmts_sound,0,,no,yes,no,yes,no,yes,no,yes,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,all_es_safeb,ParallelCodegen.all_es_safeb,ParallelCodegen,,,all_es_safeb,yes,475,479,5,,,,0,0,1,all_es_safeb_stmt,6,all_es_safeb_sound;checked_annotated_codegen;checked_annotated_codegen_many;checked_annotated_codegen_many_ok_inv;checked_annotated_codegen_ok_inv;vector_codegen_safeb,4,syntax/SVerifiedParallelCompilerConfig.v:128:ParallelCodegenCore.all_es_safeb;driver/ExtractedPipelineCorrect.v:97:ParallelCodegenCore.all_es_safeb;driver/VerifiedParallelCompilerConfig.v:146:ParallelCodegenCore.all_es_safeb;driver/VerifiedParallelCompilerConfig.v:258:ParallelCodegenCore.all_es_safeb,yes,yes,no,yes,yes,yes,yes,yes,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,all_es_safeb_stmt_sound,ParallelCodegen.all_es_safeb_stmt_sound,ParallelCodegen,,,all_es_safeb_stmt_sound,yes,480,505,26,488,504,Qed,17,15,3,all_es_safeb_stmt;all_es_safeb_stmts;all_es_safeb_stmts_sound,2,all_es_safeb_sound;all_es_safeb_stmts_sound,0,,no,yes,no,yes,no,yes,no,yes,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
with-Lemma,Public,all_es_safeb_stmts_sound,ParallelCodegen.all_es_safeb_stmts_sound,ParallelCodegen,,all_es_safeb_stmt_sound,all_es_safeb_stmt_sound,no,484,505,22,488,504,Qed,17,15,3,all_es_safeb_stmt;all_es_safeb_stmt_sound;all_es_safeb_stmts,1,all_es_safeb_stmt_sound,0,,no,yes,no,yes,no,yes,no,yes,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,all_es_safeb_sound,ParallelCodegen.all_es_safeb_sound,ParallelCodegen,,,all_es_safeb_sound,yes,506,514,9,510,513,Qed,4,2,2,all_es_safeb;all_es_safeb_stmt_sound,3,checked_annotated_codegen_many_ok_inv;checked_annotated_codegen_ok_inv;vector_codegen_safeb_sound,2,driver/ExtractedPipelineCorrect.v:102:ParallelCodegenCore.all_es_safeb_sound;driver/VerifiedParallelCompilerConfig.v:263:ParallelCodegenCore.all_es_safeb_sound,yes,yes,no,yes,yes,yes,yes,yes,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,vector_codegen_safeb,ParallelCodegen.vector_codegen_safeb,ParallelCodegen,,,vector_codegen_safeb,yes,515,517,3,,,,0,0,1,all_es_safeb,3,checked_vector_annotated_codegen;checked_vector_annotated_codegen_ok_inv;vector_codegen_safeb_sound,0,,no,yes,no,yes,no,no,no,no,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,vector_codegen_safeb_sound,ParallelCodegen.vector_codegen_safeb_sound,ParallelCodegen,,,vector_codegen_safeb_sound,yes,518,531,14,523,530,Qed,8,6,2,all_es_safeb_sound;vector_codegen_safeb,1,checked_vector_annotated_codegen_ok_inv,0,,no,yes,no,yes,no,no,no,no,no,no,Executable trace-safety/backend checks,ParallelLoop semantic AST library; codegen should consume it,Boolean reflection over the annotated AST; vector adds the innermost/useful annotation condition.,Definitions and soundness are easy to read but sit away from the `trace_safe` predicate they decide; vector innermost evidence is discarded by semantic correctness wrappers.,"Move implementation/soundness beside ParallelLoop.trace_safe and retain forwarding aliases here; document that innermost is a backend acceptance condition, not used by VecMode semantic equivalence.",P1 ownership,medium,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,checked_annotated_codegen,ParallelCodegen.checked_annotated_codegen,ParallelCodegen,,,checked_annotated_codegen,yes,532,542,11,,,,0,0,3,all_es_safeb;annotated_codegen;annotated_codegen_raw,2,checked_annotated_codegen_correct_general;checked_annotated_codegen_ok_inv,2,syntax/SParallelPolOpt.v:38:ParallelCodegenCore.checked_annotated_codegen;driver/ParallelPolOpt.v:40:ParallelCodegenCore.checked_annotated_codegen,yes,yes,yes,yes,no,no,no,no,no,no,Checked optimized/raw fallback orchestration,ParallelCodegen orchestration,"Two-attempt control flow: optimized codegen, then raw codegen, accepting only trace-safe output.","Parallel single, vector single, and parallel-many repeat the same fallback shape.",Use a Local generic checked-fallback combinator parameterized by generator and boolean checker; keep public definitions and error strings unchanged.,P1 local factoring,low,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,checked_vector_annotated_codegen,ParallelCodegen.checked_vector_annotated_codegen,ParallelCodegen,,,checked_vector_annotated_codegen,yes,543,556,14,,,,0,0,3,vector_annotated_codegen;vector_annotated_codegen_raw;vector_codegen_safeb,2,checked_vector_annotated_codegen_correct_general;checked_vector_annotated_codegen_ok_inv,2,syntax/SParallelPolOpt.v:60:ParallelCodegenCore.checked_vector_annotated_codegen;driver/ParallelPolOpt.v:62:ParallelCodegenCore.checked_vector_annotated_codegen,yes,yes,yes,yes,no,no,no,no,no,no,Checked optimized/raw fallback orchestration,ParallelCodegen orchestration,"Two-attempt control flow: optimized codegen, then raw codegen, accepting only trace-safe output.","Parallel single, vector single, and parallel-many repeat the same fallback shape.",Use a Local generic checked-fallback combinator parameterized by generator and boolean checker; keep public definitions and error strings unchanged.,P1 local factoring,low,Directly or transitively used by a qualified external root; preserve name and type.
Definition,Public,checked_annotated_codegen_many,ParallelCodegen.checked_annotated_codegen_many,ParallelCodegen,,,checked_annotated_codegen_many,yes,557,567,11,,,,0,0,3,all_es_safeb;annotated_codegen_many;annotated_codegen_many_raw,2,checked_annotated_codegen_many_correct_general;checked_annotated_codegen_many_ok_inv,4,syntax/SVerifiedParallelCompilerConfig.v:145:ParallelCodegenCore.checked_annotated_codegen_many;syntax/SParallelPolOpt.v:104:ParallelCodegenCore.checked_annotated_codegen_many;driver/VerifiedParallelCompilerConfig.v:163:ParallelCodegenCore.checked_annotated_codegen_many;driver/ParallelPolOpt.v:106:ParallelCodegenCore.checked_annotated_codegen_many,yes,yes,yes,yes,yes,yes,yes,yes,no,no,Checked optimized/raw fallback orchestration,ParallelCodegen orchestration,"Two-attempt control flow: optimized codegen, then raw codegen, accepting only trace-safe output.","Parallel single, vector single, and parallel-many repeat the same fallback shape.",Use a Local generic checked-fallback combinator parameterized by generator and boolean checker; keep public definitions and error strings unchanged.,P1 local factoring,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,tagged_prepared_codegen_matches,ParallelCodegen.tagged_prepared_codegen_matches,ParallelCodegen,,,tagged_prepared_codegen_matches,yes,568,583,16,572,582,Qed,11,9,3,codegen_matches_current_dims;tag_loop_stmt_tagged_from_depth;tagged_prepared_codegen,0,,0,,no,no,no,no,no,no,no,no,no,no,Origin-depth tagging contract,Bridge between validator dimensions and generated-loop depths,Simple structural invariant with potentially central integration purpose.,Repository-unreachable exported chain; validator certificate soundness is not connected to codegen correctness.,Preserve names/types. Integrate into a stronger certificate-to-execution theorem or explicitly classify as retained compatibility surface.,P0 contract audit,high,Exported but repository-unreachable; preserve name and type unless an explicit API-breaking decision is made.
Lemma,Public,tagged_prepared_codegen_erase_eq,ParallelCodegen.tagged_prepared_codegen_erase_eq,ParallelCodegen,,,tagged_prepared_codegen_erase_eq,yes,584,602,19,590,601,Qed,12,10,3,erase_tag_loop_eq;erase_to_loop;tagged_prepared_codegen,3,annotated_codegen_erase_eq;annotated_codegen_many_erase_eq;vector_annotated_codegen_erase_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Codegen result erasure,ParallelCodegen proof composition,Monadic inversion plus annotation-erasure; low theory complexity.,Eight normal/raw/parallel/vector/many lemmas repeat the same proof skeleton.,Introduce Local generic lemmas parameterized by prepared generator and erasure-preserving annotation; retain public statements as wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,tagged_prepared_codegen_raw_erase_eq,ParallelCodegen.tagged_prepared_codegen_raw_erase_eq,ParallelCodegen,,,tagged_prepared_codegen_raw_erase_eq,yes,603,621,19,609,620,Qed,12,10,3,erase_tag_loop_eq;erase_to_loop;tagged_prepared_codegen_raw,3,annotated_codegen_many_raw_erase_eq;annotated_codegen_raw_erase_eq;vector_annotated_codegen_raw_erase_eq,0,,no,yes,no,yes,no,yes,no,yes,no,no,Codegen result erasure,ParallelCodegen proof composition,Monadic inversion plus annotation-erasure; low theory complexity.,Eight normal/raw/parallel/vector/many lemmas repeat the same proof skeleton.,Introduce Local generic lemmas parameterized by prepared generator and erasure-preserving annotation; retain public statements as wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,annotated_codegen_erase_eq,ParallelCodegen.annotated_codegen_erase_eq,ParallelCodegen,,,annotated_codegen_erase_eq,yes,622,642,21,628,641,Qed,14,12,4,annotated_codegen;erase_parallelize_dim_to_loop_eq;erase_to_loop;tagged_prepared_codegen_erase_eq,1,annotated_codegen_refines_prepared_codegen,0,,no,yes,no,yes,no,no,no,no,no,no,Codegen result erasure,ParallelCodegen proof composition,Monadic inversion plus annotation-erasure; low theory complexity.,Eight normal/raw/parallel/vector/many lemmas repeat the same proof skeleton.,Introduce Local generic lemmas parameterized by prepared generator and erasure-preserving annotation; retain public statements as wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,annotated_codegen_raw_erase_eq,ParallelCodegen.annotated_codegen_raw_erase_eq,ParallelCodegen,,,annotated_codegen_raw_erase_eq,yes,643,663,21,649,662,Qed,14,12,4,annotated_codegen_raw;erase_parallelize_dim_to_loop_eq;erase_to_loop;tagged_prepared_codegen_raw_erase_eq,1,annotated_codegen_raw_refines_prepared_codegen,0,,no,yes,no,yes,no,no,no,no,no,no,Codegen result erasure,ParallelCodegen proof composition,Monadic inversion plus annotation-erasure; low theory complexity.,Eight normal/raw/parallel/vector/many lemmas repeat the same proof skeleton.,Introduce Local generic lemmas parameterized by prepared generator and erasure-preserving annotation; retain public statements as wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,vector_annotated_codegen_erase_eq,ParallelCodegen.vector_annotated_codegen_erase_eq,ParallelCodegen,,,vector_annotated_codegen_erase_eq,yes,664,684,21,670,683,Qed,14,12,4,erase_to_loop;erase_vectorize_dim_to_loop_eq;tagged_prepared_codegen_erase_eq;vector_annotated_codegen,1,vector_annotated_codegen_refines_prepared_codegen,0,,no,yes,no,yes,no,no,no,no,no,no,Codegen result erasure,ParallelCodegen proof composition,Monadic inversion plus annotation-erasure; low theory complexity.,Eight normal/raw/parallel/vector/many lemmas repeat the same proof skeleton.,Introduce Local generic lemmas parameterized by prepared generator and erasure-preserving annotation; retain public statements as wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
Lemma,Public,vector_annotated_codegen_raw_erase_eq,ParallelCodegen.vector_annotated_codegen_raw_erase_eq,ParallelCodegen,,,vector_annotated_codegen_raw_erase_eq,yes,685,705,21,691,704,Qed,14,12,4,erase_to_loop;erase_vectorize_dim_to_loop_eq;tagged_prepared_codegen_raw_erase_eq;vector_annotated_codegen_raw,1,vector_annotated_codegen_raw_refines_prepared_codegen,0,,no,yes,no,yes,no,no,no,no,no,no,Codegen result erasure,ParallelCodegen proof composition,Monadic inversion plus annotation-erasure; low theory complexity.,Eight normal/raw/parallel/vector/many lemmas repeat the same proof skeleton.,Introduce Local generic lemmas parameterized by prepared generator and erasure-preserving annotation; retain public statements as wrappers.,P0 proof deduplication,low,Directly or transitively used by a qualified external root; preserve name and type.
