kind,visibility,name,qualified_name,module_path,section_path,mutual_parent,decl_line,decl_end_line,declaration_span_lines,proof_line,proof_end_line,proof_terminator,proof_span_lines,proof_body_nonblank_lines,internal_dependencies_count,internal_dependencies,internal_callers_count,internal_callers,qualified_external_use_count,qualified_external_uses,confirmed_external_root,reachable_from_any_external_root,checker_root,reachable_from_checker_root,semantics_root,reachable_from_semantics_root,validator_root,reachable_from_validator_root,family,owner,recommended_refactor,priority,refactor_risk,api_constraint
Lemma,Public,all_iss_sign_vectors_length,ISSRefinement.all_iss_sign_vectors_length,ISSRefinement,,,474,498,26,478,498,Qed,21,19,1,all_iss_sign_vectors,0,,0,,no,no,no,no,no,no,no,no,Repository-unreferenced exported utility,Compatibility/public API,No qualified repository use and no path from a public external root. Preserve unless an intentional API break is approved.,P1 dead-route review,low,Exported but repository-unreferenced; preserve unless an intentional breaking change is approved.
Lemma,Public,iss_sign_for_point_satisfies,ISSRefinement.iss_sign_for_point_satisfies,ISSRefinement,,,500,507,9,503,507,Qed,5,3,2,iss_sign_for_point;point_satisfies_iss_cut,1,iss_signs_for_point_satisfy,0,,no,yes,no,no,no,yes,no,no,Sign-vector theory,"Construction, satisfaction, completeness, and functionality of point sign vectors",Keep mathematical inductions explicit; only remove unused exported lemmas after an API decision.,retain theory,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,iss_signs_for_point_satisfy,ISSRefinement.iss_signs_for_point_satisfy,ISSRefinement,,,509,520,13,513,520,Qed,8,6,3,iss_sign_for_point_satisfies;iss_signs_for_point;point_satisfies_iss_cut,1,stmt_domain_cut_relation_cover,1,src/ISSCutSemantics.v:551:Refine.iss_signs_for_point_satisfy,yes,yes,no,no,yes,yes,no,no,Sign-vector theory,"Construction, satisfaction, completeness, and functionality of point sign vectors",Keep mathematical inductions explicit; only remove unused exported lemmas after an API decision.,retain theory,medium,Direct qualified repository use; preserve name and type.
Lemma,Public,iss_signs_for_point_in_all,ISSRefinement.iss_signs_for_point_in_all,ISSRefinement,,,522,542,22,526,542,Qed,17,15,3,all_iss_sign_vectors;iss_sign_for_point;iss_signs_for_point,1,stmt_domain_cut_relation_cover,0,,no,yes,no,no,no,yes,no,no,Sign-vector theory,"Construction, satisfaction, completeness, and functionality of point sign vectors",Keep mathematical inductions explicit; only remove unused exported lemmas after an API decision.,retain theory,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,point_satisfies_iss_cut_functional,ISSRefinement.point_satisfies_iss_cut_functional,ISSRefinement,,,544,553,11,549,553,Qed,5,3,1,point_satisfies_iss_cut,1,point_satisfies_iss_cuts_functional,0,,no,yes,no,no,no,yes,no,no,Sign-vector theory,"Construction, satisfaction, completeness, and functionality of point sign vectors",Keep mathematical inductions explicit; only remove unused exported lemmas after an API decision.,retain theory,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,point_satisfies_iss_cuts_functional,ISSRefinement.point_satisfies_iss_cuts_functional,ISSRefinement,,,555,569,16,560,569,Qed,10,8,2,point_satisfies_iss_cut;point_satisfies_iss_cut_functional,1,stmt_domain_cut_relation_disjoint,1,src/ISSCutSemantics.v:554:Refine.point_satisfies_iss_cuts_functional,yes,yes,no,no,yes,yes,no,no,Sign-vector theory,"Construction, satisfaction, completeness, and functionality of point sign vectors",Keep mathematical inductions explicit; only remove unused exported lemmas after an API decision.,retain theory,medium,Direct qualified repository use; preserve name and type.
Lemma,Public,nth_error_map_some,ISSRefinement.nth_error_map_some,ISSRefinement,,,571,582,13,575,582,Qed,8,6,0,,1,stmt_domain_cut_relation_disjoint,2,src/ISSCutSemantics.v:345:Refine.nth_error_map_some;src/ISSCutSemantics.v:350:Refine.nth_error_map_some,yes,yes,no,no,yes,yes,no,no,Generic duplicate/specialization,Low-level list/linear-algebra utility,Use Rocq `List.map_nth_error` and retain this exported name as a wrapper.,P0 exact reuse,low,Direct qualified repository use; preserve name and type.
Lemma,Public,nth_error_map_inv,ISSRefinement.nth_error_map_inv,ISSRefinement,,,584,598,16,590,598,Qed,9,7,0,,1,stmt_domain_cut_relation_disjoint,0,,no,yes,no,no,no,yes,no,no,Generic duplicate/specialization,Low-level list/linear-algebra utility,Use existing `Misc.nth_error_map_iff` and retain this exported directional wrapper.,P0 exact reuse,low,Transitively used by an external root; preserve name and type.
Lemma,Public,NoDup_nth_error_injective,ISSRefinement.NoDup_nth_error_injective,ISSRefinement,,,600,615,17,606,615,Qed,10,8,0,,1,stmt_domain_cut_relation_disjoint,1,src/ISSCutSemantics.v:355:Refine.NoDup_nth_error_injective,yes,yes,no,no,yes,yes,no,no,Generic list utility,Misc/list infrastructure,Move the generic implementation to `Misc` if shared; keep this exported name/type as a wrapper.,P1 utility sinking,low,Direct qualified repository use; preserve name and type.
Lemma,Public,Forall2_combine_inv,ISSRefinement.Forall2_combine_inv,ISSRefinement,,,617,632,17,622,632,Qed,11,9,0,,4,stmt_domain_cut_relation_all_subset;stmt_domain_cut_relation_cover;stmt_domain_cut_relation_disjoint;stmt_parent_payload_relation_children_payload,0,,no,yes,no,no,no,yes,no,no,Generic list utility,Misc/list infrastructure,Move the generic implementation to `Misc` if shared; keep this exported name/type as a wrapper.,P1 utility sinking,low,Transitively used by an external root; preserve name and type.
Lemma,Public,Forall2_length_eq,ISSRefinement.Forall2_length_eq,ISSRefinement,,,634,641,9,638,641,Qed,4,2,0,,2,domain_partition_complete_cut_shape_obligations;domain_partition_shape_stmt_witnesses_length,0,,no,yes,no,no,no,yes,no,no,Generic duplicate/specialization,Low-level list/linear-algebra utility,Use existing `Misc.Forall2_length` and retain this name as a wrapper.,P0 exact reuse,low,Transitively used by an external root; preserve name and type.
Lemma,Public,in_poly_app_inv_local,ISSRefinement.in_poly_app_inv_local,ISSRefinement,,,643,652,11,647,652,Qed,6,4,0,,1,stmt_domain_cut_relation_all_subset,0,,no,yes,no,no,no,yes,no,no,Generic duplicate/specialization,Low-level list/linear-algebra utility,Keep a one-step wrapper around `in_poly_app` plus `andb_true_iff`; a shared PolyBase lemma could also replace the duplicate in Extractor.,P0 exact reuse,low,Transitively used by an external root; preserve name and type.
Lemma,Public,stmt_payload_matches_witness_parent,ISSRefinement.stmt_payload_matches_witness_parent,ISSRefinement,,,654,668,16,660,668,Qed,9,7,2,payload_eq_except_domain;stmt_payload_matches_witness,1,stmt_parent_payload_relation_children_payload,0,,no,yes,no,no,no,yes,no,no,Parent partition proof,"Derives payload preservation, subset, cover, and disjointness for one parent",Keep ISS theory here; factor child-pair lookup and child-domain fact packages shared by subset/cover/disjoint.,P0 child fact package,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,stmt_parent_payload_relation_children_payload,ISSRefinement.stmt_parent_payload_relation_children_payload,ISSRefinement,,,670,690,22,677,690,Qed,14,12,7,Forall2_combine_inv;child_pairs_for_parent;children_for_parent;iss_pairs;payload_eq_except_domain;stmt_parent_payload_relation;stmt_payload_matches_witness_parent,1,domain_partition_refinement_from_obligations,0,,no,yes,no,no,no,yes,no,no,Parent partition proof,"Derives payload preservation, subset, cover, and disjointness for one parent",Keep ISS theory here; factor child-pair lookup and child-domain fact packages shared by subset/cover/disjoint.,P0 child fact package,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,stmt_domain_matches_cuts_in_domain_iff,ISSRefinement.stmt_domain_matches_cuts_in_domain_iff,ISSRefinement,,,692,715,25,700,715,Qed,16,14,5,iss_piece_constraints;iss_piece_constraints_correct;point_in_pinstr_domain;point_satisfies_iss_cut;stmt_domain_matches_cuts,1,stmt_domain_cut_relation_disjoint,1,src/ISSCutSemantics.v:532:Refine.stmt_domain_matches_cuts_in_domain_iff,yes,yes,no,no,yes,yes,no,no,Parent partition proof,"Derives payload preservation, subset, cover, and disjointness for one parent",Keep ISS theory here; factor child-pair lookup and child-domain fact packages shared by subset/cover/disjoint.,P0 child fact package,medium,Direct qualified repository use; preserve name and type.
Lemma,Public,stmt_domain_cut_relation_all_subset,ISSRefinement.stmt_domain_cut_relation_all_subset,ISSRefinement,,,717,746,31,723,746,Qed,24,22,9,Forall2_combine_inv;child_pairs_for_parent;children_for_parent;domains_all_subset;in_poly_app_inv_local;iss_pairs;point_in_pinstr_domain;stmt_domain_cut_relation;stmt_domain_matches_cuts,1,domain_partition_complete_cut_shape_obligations,0,,no,yes,no,no,no,yes,no,no,Parent partition proof,"Derives payload preservation, subset, cover, and disjointness for one parent",Keep ISS theory here; factor child-pair lookup and child-domain fact packages shared by subset/cover/disjoint.,P0 child fact package,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,parent_sign_partition_complete_has_child,ISSRefinement.parent_sign_partition_complete_has_child,ISSRefinement,,,748,764,18,755,764,Qed,10,8,4,all_iss_sign_vectors;child_pairs_for_parent;child_signs_for_parent;parent_sign_partition_complete,1,stmt_domain_cut_relation_cover,0,,no,yes,no,no,no,yes,no,no,Parent partition proof,"Derives payload preservation, subset, cover, and disjointness for one parent",Keep ISS theory here; factor child-pair lookup and child-domain fact packages shared by subset/cover/disjoint.,P0 child fact package,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,stmt_domain_cut_relation_cover,ISSRefinement.stmt_domain_cut_relation_cover,ISSRefinement,,,766,820,56,773,820,Qed,48,46,14,Forall2_combine_inv;all_iss_sign_vectors;children_for_parent;domains_cover;iss_piece_constraints_correct;iss_signs_for_point;iss_signs_for_point_in_all;iss_signs_for_point_satisfy;parent_sign_partition_complete;parent_sign_partition_complete_has_child;point_in_pinstr_domain;point_satisfies_iss_cut;stmt_domain_cut_relation;stmt_domain_matches_cuts,1,domain_partition_complete_cut_shape_obligations,0,,no,yes,no,no,no,yes,no,no,Parent partition proof,"Derives payload preservation, subset, cover, and disjointness for one parent",Keep ISS theory here; factor child-pair lookup and child-domain fact packages shared by subset/cover/disjoint.,P0 child fact package,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,stmt_domain_cut_relation_disjoint,ISSRefinement.stmt_domain_cut_relation_disjoint,ISSRefinement,,,822,963,143,829,963,Qed,135,133,14,Forall2_combine_inv;NoDup_nth_error_injective;child_pairs_for_parent;child_signs_for_parent;children_for_parent;domains_pairwise_disjoint;nth_error_map_inv;nth_error_map_some;parent_sign_partition_complete;point_satisfies_iss_cut;point_satisfies_iss_cuts_functional;stmt_domain_cut_relation;stmt_domain_matches_cuts;stmt_domain_matches_cuts_in_domain_iff,1,domain_partition_complete_cut_shape_obligations,0,,no,yes,no,no,no,yes,no,no,Parent partition proof,"Derives payload preservation, subset, cover, and disjointness for one parent",Keep ISS theory here; factor child-pair lookup and child-domain fact packages shared by subset/cover/disjoint.,P0 child fact package,medium,Transitively used by an external root; preserve name and type.
Lemma,Public,domain_partition_shape_stmt_witnesses_length,ISSRefinement.domain_partition_shape_stmt_witnesses_length,ISSRefinement,,,965,980,17,970,980,Qed,11,9,3,Forall2_length_eq;domain_partition_shape;domain_partition_shape_with_witness,0,,1,src/ISSCutSemantics.v:658:Refine.domain_partition_shape_stmt_witnesses_length,yes,yes,no,no,yes,yes,no,no,Whole-program refinement assembly,Assembles shape and parent partition facts into full domain partition refinement,Keep public bridge here; reuse existing length theorem and expose named projections.,P0 assembly cleanup,low,Direct qualified repository use; preserve name and type.
Lemma,Public,domain_partition_complete_cut_shape_obligations,ISSRefinement.domain_partition_complete_cut_shape_obligations,ISSRefinement,,,982,1028,48,986,1028,Qed,43,41,10,Forall2_length_eq;domain_partition_complete_cut_shape;domain_partition_cut_shape_implies_shape;domain_partition_refinement_obligations;domain_partition_shape;domain_partition_shape_with_witness;parent_partition_properties;stmt_domain_cut_relation_all_subset;stmt_domain_cut_relation_cover;stmt_domain_cut_relation_disjoint,1,domain_partition_refinement_from_complete_cut_shape,0,,no,yes,no,no,no,yes,no,no,Whole-program refinement assembly,Assembles shape and parent partition facts into full domain partition refinement,Keep public bridge here; reuse existing length theorem and expose named projections.,P0 assembly cleanup,low,Transitively used by an external root; preserve name and type.
Lemma,Public,domain_partition_refinement_intro,ISSRefinement.domain_partition_refinement_intro,ISSRefinement,,,1030,1057,29,1042,1057,Qed,16,14,4,children_for_parent;domain_partition_refinement;domain_partition_shape;stmt_partition_refinement,1,domain_partition_refinement_from_obligations,0,,no,yes,no,no,no,yes,no,no,Whole-program refinement assembly,Assembles shape and parent partition facts into full domain partition refinement,Keep public bridge here; reuse existing length theorem and expose named projections.,P0 assembly cleanup,low,Transitively used by an external root; preserve name and type.
Lemma,Public,domain_partition_refinement_from_obligations,ISSRefinement.domain_partition_refinement_from_obligations,ISSRefinement,,,1059,1091,34,1063,1091,Qed,29,27,8,domain_partition_refinement_intro;domain_partition_refinement_obligations;domain_partition_refinement_with_witness;domain_partition_shape;domain_partition_shape_with_witness;parent_partition_properties;stmt_parent_payload_relation_children_payload;stmt_partition_refinement,1,domain_partition_refinement_from_complete_cut_shape,0,,no,yes,no,no,no,yes,no,no,Whole-program refinement assembly,Assembles shape and parent partition facts into full domain partition refinement,Keep public bridge here; reuse existing length theorem and expose named projections.,P0 assembly cleanup,low,Transitively used by an external root; preserve name and type.
Lemma,Public,domain_partition_refinement_from_complete_cut_shape,ISSRefinement.domain_partition_refinement_from_complete_cut_shape,ISSRefinement,,,1093,1102,11,1097,1102,Qed,6,4,4,domain_partition_complete_cut_shape;domain_partition_complete_cut_shape_obligations;domain_partition_refinement_from_obligations;domain_partition_refinement_with_witness,0,,1,src/ISSCutSemantics.v:1057:Refine.domain_partition_refinement_from_complete_cut_shape,yes,yes,no,no,yes,yes,no,no,Whole-program refinement assembly,Assembles shape and parent partition facts into full domain partition refinement,Keep public bridge here; reuse existing length theorem and expose named projections.,P0 assembly cleanup,low,Direct qualified repository use; preserve name and type.
Lemma,Public,domains_pairwise_disjoint_singleton,ISSRefinement.domains_pairwise_disjoint_singleton,ISSRefinement,,,1104,1123,21,1107,1123,Qed,17,15,1,domains_pairwise_disjoint,1,stmt_partition_refinement_singleton,0,,no,no,no,no,no,no,no,no,Repository-unreferenced exported utility,Compatibility/public API,No qualified repository use and no path from a public external root. Preserve unless an intentional API break is approved.,P1 dead-route review,low,Exported but repository-unreferenced; preserve unless an intentional breaking change is approved.
Lemma,Public,stmt_partition_refinement_singleton,ISSRefinement.stmt_partition_refinement_singleton,ISSRefinement,,,1125,1143,21,1128,1143,Qed,16,14,3,domains_pairwise_disjoint_singleton;payload_eq_except_domain_refl;stmt_partition_refinement,0,,0,,no,no,no,no,no,no,no,no,Repository-unreferenced exported utility,Compatibility/public API,No qualified repository use and no path from a public external root. Preserve unless an intentional API break is approved.,P1 dead-route review,low,Exported but repository-unreferenced; preserve unless an intentional breaking change is approved.
